username,domain,dateVal
py3l0c00vz,gmail.com,2015-02-14
3xso9c6m6j,gmail.com,2015-02-14
epyy77z75s,hotmail.com,2015-02-14
1olbiwffpp,yahoo.com,2015-02-14
wyw6wqo57s,gmail.com,2015-02-14
4jzblea94j,gmail.com,2015-02-14
0bq3flz250,aol.com,2015-02-14
onjezlvgbn,gmail.com,2015-02-14
1ls755dacx,yahoo.com,2015-02-14
q8dbt6x97s,hotmail.com,2015-02-14
fb67b059z2,gmail.com,2015-02-14
ug6hjkv3o5,gmail.com,2015-02-14
xhoi6xp6to,gmail.com,2015-02-14
4uh4d0tmft,hotmail.com,2015-02-14
02ua455u0r,gmail.com,2015-02-14
e1fdig8ryh,hotmail.com,2015-02-14
m4dixqd6b5,hotmail.com,2015-02-14
6emcuq53xx,hotmail.com,2015-02-14
xw9e2gv2oj,gmail.com,2015-02-14
5mgfvuofct,gmail.com,2015-02-14
kqsj6aw2gx,gmail.com,2015-02-14
riob6a34qo,yahoo.com,2015-02-14
2wzeloeyei,gmail.com,2015-02-14
w35dodp0v8,gmail.com,2015-02-14
2xk6xxfzyt,gmail.com,2015-02-14
1jndj7jr4g,hotmail.com,2015-02-14
7ool7kgsiw,yahoo.com,2015-02-14
3ulszaschb,hotmail.com,2015-02-14
41bfx9z0vn,yahoo.com,2015-02-14
odgmcor3t5,gmail.com,2015-02-14
ha4o2bncv4,gmail.com,2015-02-14
natsg9g4r2,aol.com,2015-02-14
htctp3i6nv,yahoo.com,2015-02-14
8bvgg87zi5,hotmail.com,2015-02-14
a0bxrjlrog,yahoo.com,2015-02-14
uq3u9ezi67,gmail.com,2015-02-14
q7b4ojb53a,hotmail.com,2015-02-14
1o9bxwm2hz,hotmail.com,2015-02-14
19516ro6kb,gmail.com,2015-02-14
ffm94ok8ji,yahoo.com,2015-02-14
rcp8zlnyp1,hotmail.com,2015-02-14
063s8i0c4u,hotmail.com,2015-02-14
yb22h4h461,yahoo.com,2015-02-14
79uav5idda,hotmail.com,2015-02-14
hafz9xmfkv,yahoo.com,2015-02-14
vskd3rpnb7,yahoo.com,2015-02-14
j0wt98af8g,hotmail.com,2015-02-14
9mj64muwvy,gmail.com,2015-02-14
ijihz9b3py,gmail.com,2015-02-14
be6sgu4dfz,gmail.com,2015-02-14
zfivzxsrnu,gmail.com,2015-02-14
0fqgq1qq5b,gmail.com,2015-02-14
k8le7ctkpp,hotmail.com,2015-02-14
a3cy9gdfi5,yahoo.com,2015-02-14
5ww7aetnka,gmail.com,2015-02-14
fe96lexfot,aol.com,2015-02-14
e5ow6wpf7r,yahoo.com,2015-02-14
qyxp2wynn2,yahoo.com,2015-02-14
md82xyxar2,hotmail.com,2015-02-14
cp8qd1xhjl,gmail.com,2015-02-14
x8pkrw61y5,aol.com,2015-02-14
xbpg5ehlps,gmail.com,2015-02-14
6yqav6ryf4,gmail.com,2015-02-14
cyx0p9plna,yahoo.com,2015-02-14
4my4d8zj2j,gmail.com,2015-02-14
mh7b1hyymy,gmail.com,2015-02-14
rxgqj884ih,gmail.com,2015-02-14
4ldbesch3s,gmail.com,2015-02-14
v2oda5hwwe,gmail.com,2015-02-14
4n54btas5x,gmail.com,2015-02-14
vpc393y0ir,gmail.com,2015-02-14
evc5qlepv6,gmail.com,2015-02-14
atenyemk75,yahoo.com,2015-02-14
6tx4jqo9gf,gmail.com,2015-02-14
m7gcptjx16,gmail.com,2015-02-14
uq7amg7z9z,yahoo.com,2015-02-14
